"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"125","Ryan Tannehill","TEN","qb","6","17","314.1","0","369.6137","548.1195","3892.0904","25.9908","10.42","41.7757","66.3236","310.4216","6.1249","0","0","0","0","9.496","4.748","0.932","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"126","Irv Smith Jr.","MIN","te","7","17","107.9","0","0","0","0","0","0","0","0","0","0","68.5027","47.9802","578.5662","4.3404","0.5253","0.2626","0.1147","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"127","Tua Tagovailoa","MIA","qb","11","17","313.7","0","402.8083","601.7274","4374.5697","28.4615","12.5959","44.1809","67.127","212.0472","3.1611","0","0","0","0","10.5479","5.274","1.2708","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"128","Devin Duvernay","BLT","wr","10","17","143.8","0","0","0","0","0","0","0","17.2093","108.4485","0.5716","92.4315","69.0005","691.2216","4.4181","1.8565","0.9282","0.1491","1339.8999","0.8913","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"129","Mike Gesicki","MIA","te","11","17","107.8","0","0","0","0","0","0","0","0","0","0","74.3725","50.2955","589.5784","3.8908","0.3802","0.1901","0.2897","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"130","Nyheim Hines","IND","rb","14","17","102.8","0","0","0","0","0","0","0","53.3909","231.3457","1.9012","55.9025","44.998","338.6597","2.0347","1.374","0.687","0.1747","496.744","0.4371","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"131","Raheem Mostert","MIA","rb","11","17","102.2","0","0","0","0","0","0","0","110.2946","482.6686","4.4401","22.4847","18.1954","135.3877","0.819","0.9789","0.4895","0.0938","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"132","JuJu Smith-Schuster","KC","wr","8","17","142.1","0","0","0","0","0","0","0","5.3643","26.9038","0.2991","102.0758","76.6573","685.7311","5.1298","1.1848","0.5924","0.2419","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"133","Deshaun Watson","CLV","qb","9","17","311.9","0","353.1945","532.5268","4039.9026","27.1112","12.6215","47.5314","101.9281","391.2106","3.0152","0","0","0","0","10.0058","5.0029","1.1495","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"134","Daniel Jones","NYG","qb","9","17","311.8","0","354.8883","575.9839","4106.6142","26.9925","13.2916","45.3159","85.4769","422.8758","2.494","0","0","0","0","13.9566","6.9783","1.2876","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"135","Brandon Aiyuk","SF","wr","9","17","141.2","0","0","0","0","0","0","0","4.5869","27.3843","0.1927","89.5094","59.0592","774.6448","5.0672","1.204","0.602","0.26","267.1081","0.3104","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"136","Jerry Jeudy","DEN","wr","9","17","141","0","0","0","0","0","0","0","2.5053","14.9475","0.0984","95.014","56.491","800.8315","5.0343","0.6318","0.3159","0.3351","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"137","Nico Collins","HST","wr","6","17","140.6","0","0","0","0","0","0","0","0.7083","4.4947","0.027","94.6629","58.3493","816.7991","4.8395","0.5169","0.2585","0.1936","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"138","Devin Singletary","BUF","rb","7","17","99.4","0","0","0","0","0","0","0","120.9769","541.8489","3.8245","19.8282","16.227","116.7693","0.5061","1.2443","0.6222","0.0348","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"139","Hunter Henry","NE","te","10","17","103.6","0","0","0","0","0","0","0","0.4554","2.1694","0.0162","66.7493","46.0878","534.7394","4.4517","0.3812","0.1906","0.1265","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
